Description|Ingredient Type|_NDB__NO_|Weight|Measure|Volume|Density|Energy|Protein|Fat|Carbohydrates|Fiber|Sugars|Calcium|Iron|Sodium|Fatty acids|Cholesterol|Vitamin C
Rye flour, dark|bulk dry||31|0.25 cup|59.147|0.5241178758|110|4|1|21|4|1|2%|10%||||
Rye flour, light|bulk dry||27|0.25 cup|59.147|0.4564897628|100|2|0.5|21|1|1||4%||||
Saffron|small volume dry||2|1.0 tablespoon|14.79|0.1352265044|7|0.2|0.1|1.4|0.1|0||1%|3|0|0|3%
Salad dressing, mayonnaise, regular|viscous "liquid"|"04025"|13.8|1.0 tbsp||1|94|0.13|10.33|0.08|0|--|1|0.03|88|1.615|6|0
Salad dressing, mayonnaise, vegetable oil|viscous "liquid"|"04026"|13.8|1.0 tablespoon||1|99|0.15|10.96|0.37|0|0.07|2|0.07|78|1.187|8|0
Seeds, pumpkin or squash, roasted with salt|mix-ins|"12516"|118|1.0 cup|236.588|0.4987573334|677|35.21|57.88|17.36|7.7|1.52|61|9.52|302|10.082|0|2.1
Seeds, sunflower, oil roasted, no salt|mix-ins|"12038"|135|1.0 cup|236.588|0.5706122035|799|27.08|69.26|30.9|14.3|4.2|117|5.78|4|9.542|0|1.5
Semisweet chocolate chips|mix-ins||15|1.0 tablespoon|14.79|1.014198783|80|1|4|10|1|8||6%|0|2.5|0|
Shortening, soybean (hydrogenated)|fats|"04546"|12.8|1.0 tablespoon||0.88|113|0|12.8|0|--|--|0|--|--|2.816|--|0
Sorghum flour|bulk dry|"20648"|121|1.0 cup|236.588|0.5114376046|437|9.52|3.98|93.74|8|2.26|15|3.62|5|0.575|--|0
Soy flour, full-fat|bulk dry|"16416"|85|1.0 cup|236.588|0.3592743503|373|32.38|18.58|25.82|--|--|160|4.95|10|2.688|--|0
Soy meal, defatted|bulk dry|"16419"|122|1.0 cup|236.588|0.5156643617|411|60.02|2.92|43.79|--|--|298|16.71|4|0.327|--|0
Soy milk, unsweetened|liquids||240|1.0 cup|236.588|1.0144216951|100|7|4|8|1|6|30%|6%|120|0.5|0|
Soy protein isolate|bulk dry|"16423"|28.35|1.0 oz||0.47|91|25.04|0.15|0.73|0.6|0|50|4.11|14|0.019|--|0
Spices, anise seed, whole|small volume dry|"02002"|2.1|1.0 tsp|4.929|0.4260499087|7|0.37|0.33|1.05|0.3|--|14|0.78|0|0.012|0|0.4
